date,KRW
1979-12-21 00:00:00,229165.63564000002
1979-12-24 00:00:00,228724.22969
1979-12-25 00:00:00,228724.22969
1979-12-26 00:00:00,228724.22969
1979-12-27 00:00:00,241319.52068000002
1979-12-28 00:00:00,244909.49085000003
1979-12-31 00:00:00,253615.89465000003
1980-01-01 00:00:00,253615.89465000003
1980-01-02 00:00:00,267900.85944000003
1980-01-03 00:00:00,303156.5382
1980-01-04 00:00:00,286207.74620000005
1980-01-07 00:00:00,300920.79709
1980-01-08 00:00:00,292465.54077
1980-01-09 00:00:00,284062.54442000005
1980-01-10 00:00:00,289222.42063
1980-01-11 00:00:00,290335.38519
1980-01-14 00:00:00,305773.46944
1980-01-15 00:00:00,321754.15094
1980-01-16 00:00:00,362423.44727
1980-01-17 00:00:00,343625.7747
1980-01-18 00:00:00,388091.17567
1980-01-21 00:00:00,396578.89385000005
1980-01-22 00:00:00,360284.71707
1980-01-23 00:00:00,306455.32771000004
1980-01-24 00:00:00,335759.93424000003
1980-01-25 00:00:00,328181.13181000005
1980-01-28 00:00:00,300576.90855000005
1980-01-29 00:00:00,322772.09082000004
1980-01-30 00:00:00,333729.06378
1980-01-31 00:00:00,387525.22506
1980-02-01 00:00:00,390583.93026000005
1980-02-04 00:00:00,386604.82916
1980-02-05 00:00:00,379561.12221000006
1980-02-06 00:00:00,395737.31458
1980-02-07 00:00:00,402461.45527000003
1980-02-08 00:00:00,393857.32899
1980-02-11 00:00:00,407666.22997000004
1980-02-12 00:00:00,402815.21384000004
1980-02-13 00:00:00,396138.18343000003
1980-02-14 00:00:00,391103.77064000006
1980-02-15 00:00:00,386352.60106
1980-02-18 00:00:00,380859.88035000005
1980-02-19 00:00:00,382941.31679
1980-02-20 00:00:00,361902.56407
1980-02-21 00:00:00,372961.26413
1980-02-22 00:00:00,372942.07044000004
1980-02-25 00:00:00,362299.84344
1980-02-26 00:00:00,369163.08721
1980-02-27 00:00:00,362944.90964
1980-02-28 00:00:00,368540.78954
1980-02-29 00:00:00,371647.86563
1980-03-03 00:00:00,375020.29735
1980-03-04 00:00:00,373616.33916000003
1980-03-05 00:00:00,377871.67991
1980-03-06 00:00:00,374792.78061
1980-03-07 00:00:00,356680.40838000004
1980-03-10 00:00:00,358492.39857
1980-03-11 00:00:00,337243.23960000003
1980-03-12 00:00:00,344085.71804
1980-03-13 00:00:00,340996.69259000005
1980-03-14 00:00:00,299629.33198
1980-03-17 00:00:00,289961.92154
1980-03-18 00:00:00,285162.83586000005
1980-03-19 00:00:00,309368.13929
1980-03-20 00:00:00,336888.6941
1980-03-21 00:00:00,324002.12643
1980-03-24 00:00:00,328849.28542000003
1980-03-25 00:00:00,330434.59735000005
1980-03-26 00:00:00,315557.27900000004
1980-03-27 00:00:00,294868.42231000005
1980-03-28 00:00:00,297500.46632
1980-03-31 00:00:00,294925.4178
1980-04-01 00:00:00,304870.48937
1980-04-02 00:00:00,293096.81218
1980-04-03 00:00:00,291257.09737000003
1980-04-04 00:00:00,291257.09737000003
1980-04-07 00:00:00,291257.09737000003
1980-04-08 00:00:00,303413.57542
1980-04-09 00:00:00,318243.78611000004
1980-04-10 00:00:00,313162.0188
1980-04-11 00:00:00,307331.64098
1980-04-14 00:00:00,306861.11236
1980-04-15 00:00:00,287555.69878000004
1980-04-16 00:00:00,293635.10768
1980-04-17 00:00:00,291702.40699000005
1980-04-18 00:00:00,292342.19444000005
1980-04-21 00:00:00,290640.05812
1980-04-22 00:00:00,280305.98179000005
1980-04-23 00:00:00,283796.72699
1980-04-24 00:00:00,287870.45729000005
1980-04-25 00:00:00,307606.82014
1980-04-28 00:00:00,297265.07200000004
1980-04-29 00:00:00,286629.16827
1980-04-30 00:00:00,306587.71290000004
1980-05-01 00:00:00,299571.28896000003
1980-05-02 00:00:00,301555.60776000004
1980-05-05 00:00:00,301555.60776000004
1980-05-06 00:00:00,302702.20851
1980-05-07 00:00:00,297586.09984000004
1980-05-08 00:00:00,299716.84324
1980-05-09 00:00:00,300253.6636
1980-05-12 00:00:00,298411.22081
1980-05-13 00:00:00,298572.82408000005
1980-05-14 00:00:00,302160.52454
1980-05-15 00:00:00,299250.98411
1980-05-16 00:00:00,301354.56412000005
1980-05-19 00:00:00,300836.35224000004
1980-05-20 00:00:00,296766.39263
1980-05-21 00:00:00,292635.3051
1980-05-22 00:00:00,290607.28535
1980-05-23 00:00:00,290330.76142
1980-05-26 00:00:00,290330.76142
1980-05-27 00:00:00,289289.04822
1980-05-28 00:00:00,296239.87054000003
1980-05-29 00:00:00,296112.87727
1980-05-30 00:00:00,316820.592
1980-06-02 00:00:00,336737.37364
1980-06-03 00:00:00,336475.59406000003
1980-06-04 00:00:00,341892.65803000005
1980-06-05 00:00:00,348772.48357000004
1980-06-06 00:00:00,357136.56569
1980-06-09 00:00:00,373160.44832
1980-06-10 00:00:00,363455.17889000004
1980-06-11 00:00:00,356334.48838000005
1980-06-12 00:00:00,351807.99045000004
1980-06-13 00:00:00,363670.26711
1980-06-16 00:00:00,357733.78403000004
1980-06-17 00:00:00,354518.58965000004
1980-06-18 00:00:00,361058.11258
1980-06-19 00:00:00,357977.72839
1980-06-20 00:00:00,361389.86145
1980-06-23 00:00:00,355790.3752
1980-06-24 00:00:00,358918.564
1980-06-25 00:00:00,372564.32263
1980-06-26 00:00:00,371630.82034000003
1980-06-27 00:00:00,376179.45229000004
1980-06-30 00:00:00,399487.4134
1980-07-01 00:00:00,394947.75378
1980-07-02 00:00:00,405044.28663000005
